env,cost_limit,source,target_steps,score_mean,score_std,score_count,cost_mean,cost_std,cost_count,laglr
Safety2x4AntVelocity-v0,25.0,"SafeDreamer (lr=1e-5, nocomm)",100000,918.4,25.2,3,0.0,0.0,3,1e-05
Safety2x4AntVelocity-v0,25.0,"SafeDreamer (lr=1e-5, nocomm)",500000,1083.4,114.7,3,0.0,0.0,3,1e-05
Safety2x4AntVelocity-v0,25.0,"SafeDreamer (lr=1e-5, nocomm)",700000,1216.5,243.5,3,1.0,1.1,3,1e-05
Safety2x4AntVelocity-v0,25.0,"SafeDreamer (lr=1e-5, nocomm)",800000,1221.0,60.1,3,1.3,1.3,3,1e-05
Safety2x4AntVelocity-v0,25.0,"SafeDreamer (lr=1e-5, nocomm)",900000,1505.5,345.8,3,4.7,7.6,3,1e-05
Safety2x4AntVelocity-v0,25.0,"SafeDreamer (lr=1e-5, nocomm)",1000000,1491.0,79.8,3,19.4,30.3,3,1e-05
Safety4x2AntVelocity-v0,1.0,"SafeDreamer (lr=1e-5, nocomm)",100000,901.8,77.0,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,1.0,"SafeDreamer (lr=1e-5, nocomm)",500000,850.9,101.8,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,1.0,"SafeDreamer (lr=1e-5, nocomm)",700000,1105.4,193.7,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,1.0,"SafeDreamer (lr=1e-5, nocomm)",800000,1104.5,140.4,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,1.0,"SafeDreamer (lr=1e-5, nocomm)",900000,1159.3,189.8,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,1.0,"SafeDreamer (lr=1e-5, nocomm)",1000000,1032.4,57.2,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,25.0,"SafeDreamer (lr=1e-5, nocomm)",100000,939.3,55.0,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,25.0,"SafeDreamer (lr=1e-5, nocomm)",500000,1164.9,175.7,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,25.0,"SafeDreamer (lr=1e-5, nocomm)",700000,1301.5,286.0,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,25.0,"SafeDreamer (lr=1e-5, nocomm)",800000,1335.0,278.6,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,25.0,"SafeDreamer (lr=1e-5, nocomm)",900000,1515.5,253.9,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,25.0,"SafeDreamer (lr=1e-5, nocomm)",1000000,1656.8,161.8,3,0.5,0.9,3,1e-05
Safety2x3HalfCheetahVelocity-v0,5.0,"SafeDreamer (lr=1e-5, nocomm)",100000,445.1,454.1,3,0.0,0.0,3,1e-05
Safety2x3HalfCheetahVelocity-v0,5.0,"SafeDreamer (lr=1e-5, nocomm)",500000,717.3,963.0,3,15.4,21.4,3,1e-05
Safety2x3HalfCheetahVelocity-v0,5.0,"SafeDreamer (lr=1e-5, nocomm)",700000,728.8,1041.0,3,0.6,0.5,3,1e-05
Safety2x3HalfCheetahVelocity-v0,5.0,"SafeDreamer (lr=1e-5, nocomm)",800000,838.8,1160.6,3,3.2,3.0,3,1e-05
Safety2x3HalfCheetahVelocity-v0,5.0,"SafeDreamer (lr=1e-5, nocomm)",900000,722.3,439.0,3,4.8,7.7,3,1e-05
Safety2x3HalfCheetahVelocity-v0,5.0,"SafeDreamer (lr=1e-5, nocomm)",1000000,1166.0,512.6,3,11.1,18.9,3,1e-05
Safety2x3HalfCheetahVelocity-v0,25.0,"SafeDreamer (lr=1e-5, nocomm)",100000,409.9,197.0,3,0.0,0.0,3,1e-05
Safety2x3HalfCheetahVelocity-v0,25.0,"SafeDreamer (lr=1e-5, nocomm)",500000,960.4,942.3,3,45.2,52.7,3,1e-05
Safety2x3HalfCheetahVelocity-v0,25.0,"SafeDreamer (lr=1e-5, nocomm)",700000,1581.8,590.2,3,41.8,40.3,3,1e-05
Safety2x3HalfCheetahVelocity-v0,25.0,"SafeDreamer (lr=1e-5, nocomm)",800000,1120.2,467.7,3,18.2,17.5,3,1e-05
Safety2x3HalfCheetahVelocity-v0,25.0,"SafeDreamer (lr=1e-5, nocomm)",900000,824.5,464.8,3,2.9,1.8,3,1e-05
Safety2x3HalfCheetahVelocity-v0,25.0,"SafeDreamer (lr=1e-5, nocomm)",1000000,981.5,1303.1,3,64.4,103.8,3,1e-05
