map,cost_limit,seed,wandb_run_id,score,cost,winrate,wandb_link,algorithm
8m,0,3,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_8m_s3_date04-26-hr21-43-42_17209125_feat-lag-real-episode-cost,,3.6,0.8,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_8m_s3_date04-26-hr21-43-42_17209125_feat-lag-real-episode-cost,SafeDreamers
8m,4,1,,,,,,SafeDreamers
8m,4,2,,,,,,SafeDreamers
8m,4,3,,,,,,SafeDreamers
bane_vs_bane,0,1,safedreamer_dai_starcraft_lag1e-05_0.0_bane_vs_bane_s1_date04-30-hr09-11-25_17273495_feat-lag-real-episod,19.251,11.57,0.826,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dai_starcraft_lag1e-05_0.0_bane_vs_bane_s1_date04-30-hr09-11-25_17273495_feat-lag-real-episod,SafeDreamers
bane_vs_bane,0,2,safedreamer_dai_starcraft_lag1e-05_0.0_bane_vs_bane_s2_date04-30-hr09-11-31_17273496_feat-lag-real-episod,19.818,6.567,0.945,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dai_starcraft_lag1e-05_0.0_bane_vs_bane_s2_date04-30-hr09-11-31_17273496_feat-lag-real-episod,SafeDreamers
bane_vs_bane,0,3,safedreamer_dai_starcraft_lag1e-05_0.0_bane_vs_bane_s3_date05-01-hr22-51-23_17289848_feat-lag-real-episod,,,,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dai_starcraft_lag1e-05_0.0_bane_vs_bane_s3_date05-01-hr22-51-23_17289848_feat-lag-real-episod,SafeDreamers
bane_vs_bane,4,1,,,,,,SafeDreamers
bane_vs_bane,4,2,,,,,,SafeDreamers
bane_vs_bane,4,3,,,,,,SafeDreamers
MMM,0,1,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_MMM_s1_date04-30-hr08-49-05_17273374_feat-lag-real-episode-cost,19.789,4.973,0.854,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_MMM_s1_date04-30-hr08-49-05_17273374_feat-lag-real-episode-cost,SafeDreamers
MMM,0,2,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_MMM_s2_date04-30-hr08-49-16_17273375_feat-lag-real-episode-cost,19.022,4.701,0.836,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_MMM_s2_date04-30-hr08-49-16_17273375_feat-lag-real-episode-cost,SafeDreamers
MMM,0,3,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_MMM_s3_date04-30-hr08-47-08_17273376_feat-lag-real-episode-cost,18.654,5.197,0.775,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_MMM_s3_date04-30-hr08-47-08_17273376_feat-lag-real-episode-cost,SafeDreamers
MMM,4,1,,,,,,SafeDreamers
MMM,4,2,,,,,,SafeDreamers
MMM,4,3,,,,,,SafeDreamers
