step,predicted,actual
522.0857142857143,0.04563445225358009,0.02222222276031971
525.1714285714286,0.02275553159415722,0.04444444552063942
528.2571428571429,0.039266712963581085,0.08055555820465088
531.3428571428572,0.07429845631122589,0.02638888917863369
647.0,0.039005670696496964,0.0055555556900799274
667.0,0.03867008164525032,0.008333333767950535
687.0,0.0524974949657917,0.0027777778450399637
707.0,-0.017109710723161697,0.0027777778450399637
727.0,0.0498555563390255,0.004166666883975267
1627.7692307692307,0.004371005576103926,0.015277777798473835
1679.2222222222222,0.013773001730442047,0.0013888889225199819
2741.390243902439,0.030429009348154068,0.0
2765.7804878048782,-0.014077277854084969,0.0013888889225199819
2790.170731707317,0.013132715597748756,0.0069444444961845875
2814.560975609756,0.0017067707376554608,0.0
3721.913043478261,0.01601097546517849,0.0013888889225199819
3726.8260869565215,0.0034819142892956734,0.0027777778450399637
3963.0,-0.013056877069175243,0.0013888889225199819
4951.7,0.01529542077332735,0.01666666753590107
4960.4,0.014927665702998638,0.02777777798473835
5302.982142857143,0.013821693137288094,0.0013888889225199819
5314.964285714285,0.006619025021791458,0.0013888889225199819
5326.946428571428,0.01910915970802307,0.009722222574055195
5338.928571428572,0.00034390619839541614,0.0013888889225199819
5350.910714285715,0.00458831200376153,0.0013888889225199819
5982.833333333333,0.0163226630538702,0.011111111380159855
6003.666666666667,0.02641400881111622,0.0
6024.5,0.0013410965912044048,0.004166666883975267
6977.764705882353,-8.659422746859491e-05,0.008333333767950535
6993.529411764706,-0.0006578306201845407,0.008333333767950535
7521.2558139534885,0.00035431497963145375,0.0
7544.511627906977,0.014636368490755558,0.0027777778450399637
8524.315789473685,0.0016950896242633462,0.0069444444961845875
8550.631578947368,-0.0005577160627581179,0.0027777778450399637
8576.947368421053,0.009525895118713379,0.0
8603.263157894737,-0.004747018683701754,0.0013888889225199819
8629.578947368422,0.014324736781418324,0.0
9523.0,0.017887797206640244,0.004166666883975267
9548.0,0.0019499610643833876,0.0013888889225199819
10504.394736842105,0.011156831867992878,0.0
10510.78947368421,0.011953521519899368,0.0
10761.093023255815,-0.012358436360955238,0.0
10781.186046511628,0.0016449206741526723,0.0055555556900799274
10801.279069767443,0.018123535439372063,0.0013888889225199819
10821.372093023256,0.005378842353820801,0.0013888889225199819
10841.46511627907,0.008475142531096935,0.0013888889225199819
10861.558139534884,0.0029720005113631487,0.0
11616.765957446809,0.024728531017899513,0.0
11628.531914893618,0.020632948726415634,0.0
12182.390243902439,-0.015894794836640358,0.0013888889225199819
12206.780487804877,-0.008660605177283287,0.0027777778450399637
12231.170731707318,-0.001355555490590632,0.0027777778450399637
13179.739130434782,-0.008770045824348927,0.004166666883975267
13201.478260869566,0.030351227149367332,0.0013888889225199819
13223.217391304348,-0.008553310297429562,0.0
14183.641025641025,0.00043142103822901845,0.0
14209.28205128205,-3.562635902198963e-05,0.0
14234.923076923076,-0.00027874455554410815,0.0
15179.739130434782,-0.007890050299465656,0.0
15201.478260869566,0.012129328213632107,0.004166666883975267
