step,beta,cost
24.0,,0.0
46.0,,0.0
267.0,,5.0
394.0,,1.0
410.0,,0.0
468.0,,11.0
530.7,0.0,
564.14,0.0,
626.8399999999999,0.0,
668.64,0.0,
677.0,,0.0
720.8260869565217,0.0,
752.1304347826087,0.0,
780.304347826087,0.0,
814.7391304347826,0.0,
821.0,,5.0
860.304347826087,0.0,
877.5,0.0,
899.6086956521739,0.0,
929.0869565217391,0.0,
934.0,,0.0
996.75,0.0,
1040.675,0.0,
1090.875,0.0,
1172.45,0.0,
1185.0,,10.0
1201.5,0.0,
1226.25,0.0,
1251.0,0.0,
1278.5,0.0,
1284.0,,1.0
1311.0222222222221,0.0,
1327.911111111111,0.0,
1341.4222222222222,0.0,
1356.6222222222223,0.0,
1360.0,,5.0
1382.8837209302326,0.0,
1401.953488372093,0.0,
1422.9302325581396,0.0,
1438.1860465116279,0.0,
1442.0,,0.0
1485.6666666666667,0.0,
1512.5384615384614,0.0,
1542.7692307692307,0.0,
1566.2820512820513,0.0,
1573.0,,0.0
1576.076923076923,0.0,
1579.1538461538462,0.0,
1583.0,0.0,
1587.2307692307693,0.0,
1588.0,,0.0
1617.6521739130435,0.0,
1629.7826086956522,0.0,
1637.8695652173913,0.0,
1647.304347826087,0.0,
1650.0,,0.0
1676.6792452830189,0.0,
1699.5471698113208,0.0,
1724.3207547169811,0.0,
1747.188679245283,0.0,
1751.0,,0.0
1772.5,0.0,
1797.5833333333333,0.0,
1810.125,0.0,
1833.4166666666667,0.0,
1837.0,,0.0
1874.6216216216217,0.0,
1912.2432432432433,0.0,
1959.2702702702702,0.0,
2001.5945945945946,0.0,
2011.0,,0.0
2087.595744680851,0.0,
2164.191489361702,0.0,
2228.021276595745,0.0,
2298.2340425531916,0.0,
2311.0,,0.0
2565.8,0.0,
2703.0,0.0,
2899.0,0.0,
3055.8,0.0,
3095.0,,1.0
3358.157894736842,0.0,
3700.2631578947367,0.0,
3910.7894736842104,0.0,
4042.3684210526317,0.0,
4095.0,,0.0
4170.3,0.0,
4230.54,0.0,
4285.76,0.0,
4335.96,0.0,
4346.0,,0.0
4602.410256410257,0.0,
4781.897435897436,0.0,
5038.307692307692,0.0,
5294.717948717949,0.0,
5346.0,,0.0
5413.65306122449,0.0,
5460.489795918367,0.0,
5522.938775510204,0.0,
5590.591836734694,0.0,
5601.0,,0.0
5652.2,0.0,
5682.066666666667,0.0,
5733.266666666666,0.0,
5784.466666666666,0.0,
5793.0,,0.0
