step,beta,cost
35.0,,0.0
85.0,,0.0
117.0,,0.0
136.0,,0.0
245.0,,2.0
277.0,,0.0
353.36538461538464,0.0,
393.5576923076923,0.0,
437.7692307692308,0.0,
477.96153846153845,0.0,
486.0,,2.0
517.7142857142857,0.0,
536.2142857142857,0.0,
565.2857142857142,0.0,
591.7142857142857,0.0,
597.0,,0.0
611.3589743589744,0.0,
627.5128205128206,0.0,
643.6666666666666,0.0,
663.4102564102564,0.0,
667.0,,1.0
706.1525423728814,0.0,
736.9152542372881,0.0,
781.6610169491526,0.0,
826.4067796610169,0.0,
832.0,,9.0
857.0,0.0,
872.3846153846154,0.0,
889.6923076923077,0.0,
903.1538461538462,0.0,
907.0,,2.0
924.3913043478261,0.0,
948.304347826087,0.0,
974.3913043478261,0.0,
1002.6521739130435,0.0,
1007.0,,0.0
1073.0,0.0,
1139.0,0.0,
1188.5,0.0,
1238.0,0.0,
1249.0,,0.0
1347.6829268292684,0.0,
1405.7317073170732,0.0,
1434.7560975609756,0.0,
1475.3902439024391,0.0,
1487.0,,0.0
1512.55,0.0,
1552.7,0.0,
1585.55,0.0,
1625.7,0.0,
1633.0,,0.0
1660.6222222222223,0.0,
1678.2,0.0,
1698.2888888888888,0.0,
1740.9777777777779,0.0,
1746.0,,0.0
2092.153846153846,0.0,
2303.6923076923076,0.0,
2534.4615384615386,0.0,
2707.5384615384614,0.0,
2746.0,,0.0
2956.5263157894738,0.0,
3193.3684210526317,0.0,
3430.2105263157896,0.0,
3693.3684210526317,0.0,
3746.0,,3.0
4021.0,0.0,
4221.0,0.0,
4496.0,0.0,
4696.0,0.0,
4746.0,,0.0
4978.558139534884,0.0,
5234.372093023256,0.0,
5466.930232558139,0.0,
5699.488372093023,0.0,
5746.0,,0.0
5974.571428571428,0.0,
6203.142857142857,0.0,
6546.0,0.0,
6688.857142857143,0.0,
6746.0,,0.0
6980.04255319149,0.0,
7235.36170212766,0.0,
7511.95744680851,0.0,
7703.446808510638,0.0,
7746.0,,0.0
7792.468085106383,0.0,
7819.021276595745,0.0,
7865.489361702128,0.0,
7895.36170212766,0.0,
7902.0,,0.0
7983.666666666667,0.0,
8042.0,0.0,
8100.333333333333,0.0,
8135.333333333333,0.0,
8147.0,,0.0
8341.444444444445,0.0,
8591.444444444445,0.0,
8841.444444444445,0.0,
9091.444444444445,0.0,
9147.0,,1.0
9152.707317073171,0.0,
9156.219512195123,0.0,
9159.292682926829,0.0,
9164.121951219513,0.0,
9165.0,,0.0
9200.42857142857,0.0,
9229.952380952382,0.0,
9262.42857142857,0.0,
9283.095238095239,0.0,
9289.0,,0.0
9622.333333333334,0.0,
9789.0,0.0,
9992.703703703704,0.0,
10251.962962962964,0.0,
10289.0,,0.0
10539.0,0.0,
10764.0,0.0,
11039.0,0.0,
11239.0,0.0,
11289.0,,0.0
11504.121951219513,0.0,
11767.048780487805,0.0,
12029.975609756097,0.0,
12221.19512195122,0.0,
12269.0,,1.0
12609.425531914894,0.0,
12864.744680851063,0.0,
13034.95744680851,0.0,
13226.446808510638,0.0,
13269.0,,0.0
13530.904761904761,0.0,
13769.0,0.0,
13983.285714285714,0.0,
14221.380952380952,0.0,
14269.0,,0.0
14569.0,0.0,
14749.0,0.0,
14949.0,0.0,
15229.0,0.0,
15269.0,,2.0
15549.0,0.0,
15749.0,0.0,
16009.0,0.0,
16229.0,0.0,
16269.0,,0.0
16592.529411764706,0.0,
16769.0,0.0,
16916.058823529413,0.0,
17210.176470588234,0.0,
17269.0,,0.0
17464.121951219513,0.0,
17732.414634146342,0.0,
18049.48780487805,0.0,
18220.219512195123,0.0,
18269.0,,0.0
18595.08695652174,0.0,
18877.695652173912,0.0,
19051.608695652176,0.0,
19225.521739130436,0.0,
