step,beta,cost
1000.0,0.0,
1000.0,0.0,
1000.0,0.0,
1000.0,0.0,
1000.0,,0.0
1243.9024390243903,0.0,
1512.1951219512196,0.0,
1707.3170731707319,0.0,
1951.219512195122,0.0,
2000.0,,0.0
2279.0697674418607,0.0,
2511.6279069767443,0.0,
2720.9302325581393,0.0,
2953.488372093023,0.0,
3000.0,,0.0
3309.5238095238096,0.0,
3547.6190476190477,0.0,
3809.5238095238096,0.0,
3952.3809523809523,0.0,
4000.0,,0.0
4219.512195121952,0.0,
4414.634146341464,0.0,
4707.317073170731,0.0,
4951.219512195122,0.0,
5000.0,,0.0
5297.872340425532,0.0,
5510.63829787234,0.0,
5723.404255319148,0.0,
5957.446808510638,0.0,
6000.0,,0.0
6166.666666666667,0.0,
6476.190476190476,0.0,
6714.285714285715,0.0,
6952.380952380952,0.0,
7000.0,,0.0
7307.692307692308,0.0,
7557.692307692308,0.0,
7769.2307692307695,0.0,
7961.538461538462,0.0,
8000.0,,0.0
8297.872340425532,0.0,
8574.468085106382,0.0,
8744.68085106383,0.0,
8957.446808510638,0.0,
9000.0,,0.0
9375.0,0.0,
9575.0,0.0,
9775.0,0.0,
9950.0,0.0,
10000.0,,0.0
10275.0,0.0,
10500.0,0.0,
10725.0,0.0,
10950.0,0.0,
11000.0,,0.0
11342.857142857143,0.0,
11514.285714285714,0.0,
11771.42857142857,0.0,
11942.857142857143,0.0,
12000.0,,0.0
12264.150943396226,0.0,
12471.698113207547,0.0,
12754.716981132075,0.0,
12962.264150943396,0.0,
13000.0,,0.0
13312.5,0.0,
13520.833333333334,0.0,
13729.166666666666,0.0,
13958.333333333334,0.0,
14000.0,,0.0
14348.837209302326,0.0,
14534.883720930233,0.0,
14744.186046511628,0.0,
14953.488372093023,0.0,
15000.0,,0.0
15272.727272727272,0.0,
15545.454545454546,0.0,
15750.0,0.0,
15954.545454545454,0.0,
16000.0,,0.0
16250.0,0.0,
16454.545454545456,0.0,
16704.545454545456,0.0,
16954.545454545456,0.0,
17000.0,,0.0
17270.833333333332,0.0,
17500.0,0.0,
17791.666666666668,0.0,
17958.333333333332,0.0,
18000.0,,0.0
18285.714285714286,0.0,
18530.61224489796,0.0,
18714.285714285714,0.0,
18959.183673469386,0.0,
19000.0,,0.0
19244.444444444445,0.0,
19444.444444444445,0.0,
19800.0,0.0,
19955.555555555555,0.0,
20000.0,,0.0
20205.128205128207,0.0,
20384.615384615383,0.0,
20641.02564102564,0.0,
20948.71794871795,0.0,
21000.0,,0.0
21340.425531914894,0.0,
21574.468085106382,0.0,
21765.957446808512,0.0,
21957.44680851064,0.0,
22000.0,,0.0
22256.410256410258,0.0,
22487.17948717949,0.0,
22794.871794871797,0.0,
22948.71794871795,0.0,
23000.0,,0.0
23216.216216216217,0.0,
23459.45945945946,0.0,
23702.702702702703,0.0,
23945.945945945947,0.0,
24000.0,,0.0
24292.682926829268,0.0,
24512.19512195122,0.0,
24658.536585365855,0.0,
24951.219512195123,0.0,
25000.0,,0.0
25311.11111111111,0.0,
25533.333333333332,0.0,
25733.333333333332,0.0,
25955.555555555555,0.0,
26000.0,,0.0
26238.095238095237,0.0,
26452.380952380954,0.0,
26619.04761904762,0.0,
26952.380952380954,0.0,
27000.0,,0.0
27300.0,0.0,
27475.0,0.0,
27725.0,0.0,
27950.0,0.0,
28000.0,,0.0
28297.297297297297,0.0,
28513.513513513513,0.0,
28756.756756756757,0.0,
28945.945945945947,0.0,
29000.0,,0.0
29300.0,0.0,
29525.0,0.0,
29725.0,0.0,
29950.0,0.0,
30000.0,,0.0
30256.410256410258,0.0,
30461.53846153846,0.0,
30692.30769230769,0.0,
30948.71794871795,0.0,
31000.0,,0.0
31270.27027027027,0.0,
31513.513513513513,0.0,
31675.675675675677,0.0,
31945.945945945947,0.0,
32000.0,,0.0
32217.391304347828,0.0,
32369.565217391304,0.0,
32695.652173913044,0.0,
