step,beta,cost
1000.0,0.0,
1000.0,0.0,
1000.0,0.0,
1000.0,0.0,
1000.0,,0.0
1260.8695652173913,0.0,
1586.9565217391305,0.0,
1760.8695652173915,0.0,
1956.5217391304348,0.0,
2000.0,,0.0
2282.051282051282,0.0,
2487.1794871794873,0.0,
2641.025641025641,0.0,
2948.7179487179487,0.0,
3000.0,,0.0
3230.769230769231,0.0,
3487.1794871794873,0.0,
3717.948717948718,0.0,
3948.7179487179487,0.0,
4000.0,,0.0
4279.069767441861,0.0,
4534.883720930233,0.0,
4744.186046511628,0.0,
4953.488372093023,0.0,
5000.0,,0.0
5250.0,0.0,
5500.0,0.0,
5725.0,0.0,
5950.0,0.0,
6000.0,,0.0
6276.595744680851,0.0,
6510.63829787234,0.0,
6702.127659574468,0.0,
6957.446808510638,0.0,
7000.0,,0.0
7189.189189189189,0.0,
7405.405405405405,0.0,
7702.7027027027025,0.0,
7945.945945945946,0.0,
8000.0,,0.0
8218.181818181818,0.0,
8436.363636363636,0.0,
8672.727272727272,0.0,
8963.636363636364,0.0,
9000.0,,0.0
9285.714285714286,0.0,
9547.619047619048,0.0,
9809.52380952381,0.0,
9952.380952380952,0.0,
10000.0,,0.0
10256.410256410256,0.0,
10487.179487179486,0.0,
10717.948717948719,0.0,
10948.71794871795,0.0,
11000.0,,0.0
11208.333333333334,0.0,
11416.666666666666,0.0,
11666.666666666666,0.0,
11958.333333333334,0.0,
12000.0,,0.0
12357.142857142857,0.0,
12619.047619047618,0.0,
12761.904761904761,0.0,
12952.380952380952,0.0,
13000.0,,0.0
13317.073170731708,0.0,
13536.585365853658,0.0,
13756.09756097561,0.0,
13951.219512195123,0.0,
14000.0,,0.0
14166.666666666666,0.0,
14416.666666666666,0.0,
14777.777777777777,0.0,
14944.444444444445,0.0,
15000.0,,0.0
15207.547169811322,0.0,
15433.962264150943,0.0,
15698.11320754717,0.0,
15962.264150943396,0.0,
16000.0,,0.0
16282.608695652174,0.0,
16500.0,0.0,
16739.130434782608,0.0,
16956.521739130436,0.0,
17000.0,,0.0
17204.545454545456,0.0,
17431.81818181818,0.0,
17659.090909090908,0.0,
17954.545454545456,0.0,
18000.0,,0.0
18173.91304347826,0.0,
18369.565217391304,0.0,
18652.17391304348,0.0,
18956.521739130436,0.0,
19000.0,,0.0
19270.833333333332,0.0,
19562.5,0.0,
19729.166666666668,0.0,
19958.333333333332,0.0,
20000.0,,0.0
20341.463414634145,0.0,
20560.975609756097,0.0,
20731.70731707317,0.0,
20951.219512195123,0.0,
21000.0,,0.0
21297.872340425532,0.0,
21468.08510638298,0.0,
21744.68085106383,0.0,
21957.44680851064,0.0,
22000.0,,0.0
22302.325581395347,0.0,
22511.627906976744,0.0,
22697.674418604653,0.0,
22953.488372093023,0.0,
23000.0,,0.0
23259.25925925926,0.0,
23537.037037037036,0.0,
23722.222222222223,0.0,
23962.962962962964,0.0,
24000.0,,0.0
24239.130434782608,0.0,
24434.782608695652,0.0,
24695.652173913044,0.0,
24956.521739130436,0.0,
25000.0,,0.0
25243.90243902439,0.0,
25512.19512195122,0.0,
25731.70731707317,0.0,
25951.219512195123,0.0,
26000.0,,0.0
26175.0,0.0,
26425.0,0.0,
26725.0,0.0,
26950.0,0.0,
27000.0,,0.0
27156.86274509804,0.0,
27470.58823529412,0.0,
27764.70588235294,0.0,
27960.78431372549,0.0,
28000.0,,0.0
28234.042553191488,0.0,
28489.36170212766,0.0,
28702.127659574468,0.0,
28957.44680851064,0.0,
29000.0,,0.0
29318.18181818182,0.0,
29568.18181818182,0.0,
29772.727272727272,0.0,
29954.545454545456,0.0,
30000.0,,0.0
30333.333333333332,0.0,
30622.222222222223,0.0,
30777.777777777777,0.0,
30955.555555555555,0.0,
31000.0,,0.0
31234.042553191488,0.0,
31446.808510638297,0.0,
31680.85106382979,0.0,
31957.44680851064,0.0,
32000.0,,0.0
