step,beta,cost
26.0,,0.0
70.0,,3.0
108.0,,2.0
193.0,,0.0
411.0,,13.0
451.7142857142857,0.0,
487.9047619047619,0.0,
542.1904761904761,0.0,
591.952380952381,0.0,
601.0,,0.0
644.75,0.0,
672.5909090909091,0.0,
720.3181818181818,0.0,
768.0454545454545,0.0,
776.0,,0.0
789.7142857142857,0.0,
803.4285714285714,0.0,
817.1428571428571,0.0,
832.5714285714286,0.0,
836.0,,0.0
885.4545454545455,0.0,
953.4545454545455,0.0,
1027.6363636363635,0.0,
1095.6363636363635,0.0,
1108.0,,5.0
1145.8461538461538,0.0,
1196.3076923076924,0.0,
1218.3846153846155,0.0,
1265.6923076923076,0.0,
1272.0,,1.0
1340.9423076923076,0.0,
1405.2884615384614,0.0,
1451.25,0.0,
1501.8076923076924,0.0,
1511.0,,1.0
1526.5833333333333,0.0,
1533.6666666666667,0.0,
1549.25,0.0,
1559.1666666666667,0.0,
1562.0,,0.0
1619.1764705882354,0.0,
1638.235294117647,0.0,
1682.7058823529412,0.0,
1717.6470588235293,0.0,
1724.0,,0.0
1728.3541666666667,0.0,
1733.8958333333333,0.0,
1737.8541666666667,0.0,
1742.2083333333333,0.0,
1743.0,,0.0
2040.2972972972973,0.0,
2202.4594594594596,0.0,
2364.6216216216217,0.0,
2688.945945945946,0.0,
2743.0,,0.0
2746.8360655737706,0.0,
2749.8196721311474,0.0,
2753.0163934426228,0.0,
2755.5737704918033,0.0,
2756.0,,0.0
2965.3023255813955,0.0,
3197.860465116279,0.0,
3430.4186046511627,0.0,
3709.488372093023,0.0,
3756.0,,0.0
3853.804347826087,0.0,
3942.717391304348,0.0,
4031.630434782609,0.0,
4147.217391304348,0.0,
4165.0,,0.0
4460.454545454545,0.0,
4665.0,0.0,
4960.454545454545,0.0,
5119.545454545454,0.0,
5165.0,,0.0
5226.953488372093,0.0,
5296.6511627906975,0.0,
5412.813953488372,0.0,
5482.511627906977,0.0,
5498.0,,0.0
5703.882352941177,0.0,
5909.764705882353,0.0,
6145.058823529412,0.0,
6439.176470588235,0.0,
6498.0,,0.0
6623.333333333333,0.0,
6811.333333333333,0.0,
6968.0,0.0,
7171.666666666667,0.0,
7203.0,,0.0
7398.652173913044,0.0,
7572.565217391304,0.0,
7833.434782608696,0.0,
8159.521739130435,0.0,
8203.0,,0.0
8435.558139534884,0.0,
8691.372093023256,0.0,
8923.93023255814,0.0,
9156.488372093023,0.0,
9203.0,,0.0
9260.152173913044,0.0,
9327.695652173914,0.0,
9390.04347826087,0.0,
9431.608695652174,0.0,
9442.0,,0.0
9713.186440677966,0.0,
9899.627118644068,0.0,
10204.71186440678,0.0,
10408.101694915254,0.0,
10442.0,,0.0
10755.725490196079,0.0,
11030.235294117647,0.0,
11226.313725490196,0.0,
11402.78431372549,0.0,
11442.0,,0.0
11710.292682926829,0.0,
11905.414634146342,0.0,
12124.926829268294,0.0,
12393.219512195123,0.0,
12442.0,,0.0
12656.285714285714,0.0,
12989.619047619048,0.0,
13203.904761904761,0.0,
13394.380952380952,0.0,
13442.0,,0.0
13631.18918918919,0.0,
13793.351351351352,0.0,
14117.675675675675,0.0,
14387.945945945947,0.0,
14442.0,,0.0
