step,beta,cost
48.0,,0.0
144.0,,0.0
170.0,,0.0
243.0,,0.0
351.2857142857143,0.0,
468.5952380952381,0.0,
549.8095238095239,0.0,
603.952380952381,0.0,
622.0,,0.0
741.0,0.0,
817.5,0.0,
902.5,0.0,
979.0,0.0,
996.0,,15.0
1236.0,0.0,
1496.0,0.0,
1696.0,0.0,
1956.0,0.0,
1996.0,,0.0
2029.404255319149,0.0,
2056.127659574468,0.0,
2096.2127659574467,0.0,
2146.31914893617,0.0,
2153.0,,3.0
2275.6666666666665,0.0,
2318.6,0.0,
2367.6666666666665,0.0,
2416.7333333333336,0.0,
2429.0,,1.0
2441.6428571428573,0.0,
2454.285714285714,0.0,
2468.3333333333335,0.0,
2485.190476190476,0.0,
2488.0,,0.0
2494.3673469387754,0.0,
2502.204081632653,0.0,
2507.1020408163267,0.0,
2511.0204081632655,0.0,
2512.0,,0.0
2520.06,0.0,
2525.02,0.0,
2529.36,0.0,
2541.76,0.0,
2543.0,,0.0
2558.714285714286,0.0,
2574.4285714285716,0.0,
2586.214285714286,0.0,
2595.3809523809523,0.0,
2598.0,,0.0
2605.568181818182,0.0,
2615.659090909091,0.0,
2623.2272727272725,0.0,
2633.318181818182,0.0,
2635.0,,0.0
2706.6279069767443,0.0,
2784.767441860465,0.0,
2836.860465116279,0.0,
2901.9767441860467,0.0,
2915.0,,12.0
3207.682926829268,0.0,
3378.4146341463415,0.0,
3573.5365853658536,0.0,
3866.2195121951218,0.0,
3915.0,,2.0
4207.682926829269,0.0,
4378.414634146341,0.0,
4500.365853658536,0.0,
4866.219512195122,0.0,
4915.0,,2.0
5002.232558139535,0.0,
5081.53488372093,0.0,
5176.697674418605,0.0,
5240.139534883721,0.0,
5256.0,,0.0
5535.069767441861,0.0,
5721.116279069767,0.0,
5976.930232558139,0.0,
6209.488372093023,0.0,
6256.0,,0.0
6617.702127659574,0.0,
6787.914893617021,0.0,
7021.95744680851,0.0,
7213.446808510638,0.0,
7256.0,,0.0
7273.368421052632,0.0,
7286.0,0.0,
7300.210526315789,0.0,
7312.8421052631575,0.0,
7316.0,,0.0
7591.0,0.0,
7841.0,0.0,
8066.0,0.0,
8266.0,0.0,
8316.0,,0.0
8496.0,0.0,
8776.0,0.0,
9096.0,0.0,
9276.0,0.0,
9316.0,,0.0
9566.0,0.0,
9793.272727272728,0.0,
10066.0,0.0,
10270.545454545454,0.0,
10316.0,,0.0
10513.254545454545,0.0,
10606.690909090908,0.0,
10752.036363636364,0.0,
10866.236363636364,0.0,
10887.0,,0.0
11042.09090909091,0.0,
