step,beta,cost
105.0,,0.0
154.0,,0.0
457.0,,20.0
465.45454545454544,0.0,
478.1363636363636,0.0,
499.27272727272725,0.0,
516.1818181818182,0.0,
519.0,,0.0
552.9428571428572,0.0,
580.7142857142857,0.0,
605.4,0.0,
620.8285714285714,0.0,
627.0,,0.0
887.0,0.0,
1107.0,0.0,
1347.0,0.0,
1587.0,0.0,
1627.0,,0.0
1632.3846153846155,0.0,
1639.3076923076924,0.0,
1647.7692307692307,0.0,
1655.4615384615386,0.0,
1657.0,,0.0
1923.6666666666665,0.0,
2101.4444444444443,0.0,
2390.333333333333,0.0,
2612.5555555555557,0.0,
2657.0,,0.0
2674.6470588235293,0.0,
2688.764705882353,0.0,
2702.8823529411766,0.0,
2713.470588235294,0.0,
2717.0,,0.0
2936.512195121951,0.0,
3082.8536585365855,0.0,
3473.0975609756097,0.0,
3668.2195121951218,0.0,
3717.0,,1.0
3790.695652173913,0.0,
3839.8260869565215,0.0,
3869.304347826087,0.0,
3933.173913043478,0.0,
3943.0,,9.0
4163.0,0.0,
4403.0,0.0,
4663.0,0.0,
4903.0,0.0,
4943.0,,0.0
5038.7,0.0,
5117.0,0.0,
5151.8,0.0,
5273.6,0.0,
5291.0,,5.0
5446.767857142857,0.0,
5578.571428571428,0.0,
5782.267857142857,0.0,
5938.035714285715,0.0,
5962.0,,0.0
6253.666666666667,0.0,
6482.833333333333,0.0,
6732.833333333333,0.0,
6920.333333333333,0.0,
6962.0,,3.0
7072.35294117647,0.0,
7214.235294117647,0.0,
7340.35294117647,0.0,
7466.470588235294,0.0,
7498.0,,2.0
7730.558139534884,0.0,
7916.604651162791,0.0,
8172.418604651162,0.0,
8451.488372093023,0.0,
8498.0,,0.0
8787.473684210527,0.0,
9076.947368421053,0.0,
9208.526315789473,0.0,
9445.368421052632,0.0,
9498.0,,0.0
9748.0,0.0,
10048.0,0.0,
10248.0,0.0,
10448.0,0.0,
10498.0,,0.0
10555.552631578947,0.0,
10619.5,0.0,
10677.052631578947,0.0,
10728.21052631579,0.0,
10741.0,,0.0
11042.39534883721,0.0,
11243.32558139535,0.0,
11424.162790697674,0.0,
11564.813953488372,0.0,
11605.0,,0.0
11781.489361702128,0.0,
11887.382978723404,0.0,
12016.808510638299,0.0,
12134.468085106382,0.0,
12158.0,,0.0
12377.512195121952,0.0,
12645.80487804878,0.0,
12889.707317073171,0.0,
13109.219512195123,0.0,
13158.0,,0.0
13353.652173913044,0.0,
13592.782608695652,0.0,
13810.173913043478,0.0,
14114.521739130434,0.0,
14158.0,,0.0
14465.692307692309,0.0,
14670.820512820514,0.0,
14927.23076923077,0.0,
15106.71794871795,0.0,
15158.0,,0.0
15484.08695652174,0.0,
15723.217391304348,0.0,
15918.869565217392,0.0,
16114.521739130434,0.0,
16158.0,,0.0
16526.42105263158,0.0,
16789.57894736842,0.0,
16912.385964912282,0.0,
17122.912280701756,0.0,
17158.0,,0.0
17491.333333333332,0.0,
17646.88888888889,0.0,
17802.444444444445,0.0,
18113.555555555555,0.0,
18158.0,,0.0
18483.581395348836,0.0,
18739.39534883721,0.0,
18878.93023255814,0.0,
19111.488372093023,0.0,
19158.0,,0.0
19439.25,0.0,
19689.25,0.0,
19876.75,0.0,
20095.5,0.0,
20158.0,,0.0
20358.0,0.0,
20578.0,0.0,
20798.0,0.0,
21118.0,0.0,
21158.0,,0.0
21458.0,0.0,
21658.0,0.0,
21883.0,0.0,
22108.0,0.0,
22158.0,,0.0
22437.06976744186,0.0,
22692.883720930233,0.0,
22902.186046511626,0.0,
23111.488372093023,0.0,
23158.0,,0.0
23408.0,0.0,
23633.0,0.0,
23883.0,0.0,
24108.0,0.0,
24158.0,,0.0
24377.51219512195,0.0,
24621.414634146342,0.0,
24816.536585365855,0.0,
25109.219512195123,0.0,
25158.0,,0.0
25402.444444444445,0.0,
25624.666666666668,0.0,
25913.555555555555,0.0,
26113.555555555555,0.0,
26158.0,,0.0
26519.702127659573,0.0,
26753.744680851065,0.0,
26945.23404255319,0.0,
27115.44680851064,0.0,
27158.0,,0.0
27363.128205128207,0.0,
27593.897435897437,0.0,
27875.94871794872,0.0,
28106.71794871795,0.0,
28158.0,,0.0
28353.121951219513,0.0,
28597.024390243903,0.0,
28889.70731707317,0.0,
29109.219512195123,0.0,
29158.0,,0.0
29476.18181818182,0.0,
29635.272727272728,0.0,
29908.0,0.0,
30112.545454545456,0.0,
30158.0,,0.0
30418.0,0.0,
30578.0,0.0,
30758.0,0.0,
31118.0,0.0,
31158.0,,0.0
31505.82608695652,0.0,
31701.478260869564,0.0,
31918.869565217392,0.0,
32114.521739130436,0.0,
32158.0,,0.0
32483.0,0.0,
32683.0,0.0,
32883.0,0.0,
33108.0,0.0,
33158.0,,0.0
33447.47368421053,0.0,
33631.68421052631,0.0,
33789.57894736842,0.0,
34105.36842105263,0.0,
34158.0,,0.0
34349.48936170213,0.0,
34647.36170212766,0.0,
34881.40425531915,0.0,
35115.44680851064,0.0,
35158.0,,0.0
35469.11111111111,0.0,
35735.77777777778,0.0,
35913.555555555555,0.0,
36113.555555555555,0.0,
36158.0,,0.0
36419.90476190476,0.0,
36681.80952380953,0.0,
36872.28571428572,0.0,
37110.380952380954,0.0,
37158.0,,0.0
37345.5,0.0,
37595.5,0.0,
37783.0,0.0,
38116.333333333336,0.0,
38158.0,,0.0
38446.88888888889,0.0,
38691.333333333336,0.0,
38935.77777777778,0.0,
39113.555555555555,0.0,
39158.0,,0.0
39333.0,0.0,
39508.0,0.0,
39783.0,0.0,
40108.0,0.0,
40158.0,,0.0
40370.765957446805,0.0,
40626.085106382976,0.0,
40860.12765957447,0.0,
41115.44680851064,0.0,
41158.0,,0.0
41499.46341463415,0.0,
41670.19512195122,0.0,
41889.70731707317,0.0,
42109.21951219512,0.0,
42158.0,,0.0
42372.28571428572,0.0,
42634.19047619047,0.0,
42967.52380952381,0.0,
43110.380952380954,0.0,
43158.0,,0.0
43328.73170731707,0.0,
43621.41463414634,0.0,
43889.70731707317,0.0,
44109.21951219512,0.0,
44158.0,,0.0
44315.89473684211,0.0,
44579.05263157895,0.0,
44815.89473684211,0.0,
45105.36842105263,0.0,
45158.0,,0.0
45362.08163265306,0.0,
45586.57142857143,0.0,
45892.69387755102,0.0,
46117.183673469386,0.0,
46158.0,,0.0
46408.0,0.0,
46720.5,0.0,
46928.833333333336,0.0,
47116.333333333336,0.0,
47158.0,,0.0
47491.333333333336,0.0,
47658.0,0.0,
47887.166666666664,0.0,
48116.333333333336,0.0,
48158.0,,0.0
48432.509803921566,0.0,
48667.80392156863,0.0,
48961.921568627455,0.0,
49118.78431372549,0.0,
49158.0,,0.0
49453.454545454544,0.0,
49771.63636363636,0.0,
49998.90909090909,0.0,
50112.545454545456,0.0,
50158.0,,0.0
50346.67924528302,0.0,
50629.698113207545,0.0,
50912.71698113208,0.0,
51120.264150943396,0.0,
51158.0,,0.0
51380.22222222222,0.0,
51535.77777777778,0.0,
51824.666666666664,0.0,
52113.555555555555,0.0,
52158.0,,0.0
52464.12244897959,0.0,
52647.795918367345,0.0,
52851.87755102041,0.0,
53117.183673469386,0.0,
53158.0,,0.0
53538.95238095238,0.0,
53777.04761904762,0.0,
53967.52380952381,0.0,
54110.380952380954,0.0,
54158.0,,0.0
54430.72727272727,0.0,
54680.72727272727,0.0,
54908.0,0.0,
55112.545454545456,0.0,
55158.0,,0.0
55428.27027027027,0.0,
55644.48648648649,0.0,
55887.72972972973,0.0,
56103.94594594595,0.0,
56158.0,,0.0
56483.0,0.0,
56708.0,0.0,
56908.0,0.0,
57108.0,0.0,
57158.0,,0.0
57401.90243902439,0.0,
57645.80487804878,0.0,
57914.09756097561,0.0,
58109.21951219512,0.0,
58158.0,,0.0
58388.769230769234,0.0,
58696.46153846154,0.0,
58946.46153846154,0.0,
59119.53846153846,0.0,
59158.0,,0.0
59383.8064516129,0.0,
59641.87096774193,0.0,
59899.93548387097,0.0,
60093.48387096774,0.0,
60158.0,,0.0
60414.41025641026,0.0,
60619.53846153846,0.0,
60824.666666666664,0.0,
61106.717948717946,0.0,
