map,algorithm,cost_limit,score_mean,score_std,cost_mean,cost_std,winrate_mean,winrate_std
1c3s5z,SafeDreamers,0,19.708,0.087,2.935,0.183,0.915,0.026
1c3s5z,SafeDreamers,4,19.241,0.325,4.426,0.373,0.818,0.071
1c3s5z,SafePO,0,8.63,0.052,9.0,0.0,0.0,0.0
1c3s5z,SafePO,4,8.792,0.149,9.0,0.0,0.0,0.0
2m_vs_1z,SafeDreamers,0,19.489,0.114,0.135,0.025,0.963,0.007
2m_vs_1z,SafeDreamers,1,19.817,0.04,0.087,0.014,0.986,0.003
2m_vs_1z,SafePO,0,3.57,0.093,2.0,0.0,0.0,0.0
2m_vs_1z,SafePO,1,4.094,0.05,1.998,0.003,0.0,0.0
2s3z,SafeDreamers,0,19.17,0.35,1.606,0.293,0.86,0.055
2s3z,SafeDreamers,4,18.662,0.422,2.521,0.191,0.777,0.063
2s3z,SafePO,0,3.648,0.074,5.0,0.0,0.0,0.0
2s3z,SafePO,4,6.049,0.057,5.0,0.0,0.0,0.0
2s_vs_1sc,SafeDreamers,0,20.066,0.078,0.161,0.067,0.975,0.014
2s_vs_1sc,SafeDreamers,1,19.953,0.24,0.132,0.065,0.967,0.028
2s_vs_1sc,SafePO,0,3.572,0.133,2.0,0.0,0.0,0.0
2s_vs_1sc,SafePO,1,6.819,0.303,2.0,0.0,0.0,0.0
3m,SafeDreamers,0,19.045,0.46,0.447,0.137,0.943,0.033
3m,SafeDreamers,1,19.369,0.339,0.574,0.194,0.949,0.027
3m,SafePO,0,2.654,0.058,3.0,0.0,0.0,0.0
3m,SafePO,1,3.629,0.096,2.999,0.002,0.0,0.0
3s5z_vs_3s6z,SafeDreamers,0,13.528,0.481,7.778,0.098,0.08,0.042
3s5z_vs_3s6z,SafeDreamers,4,11.395,0.576,7.976,0.034,0.008,0.011
3s5z_vs_3s6z,SafePO,0,3.469,0.018,8.0,0.0,0.0,0.0
3s5z_vs_3s6z,SafePO,4,4.292,0.025,8.0,0.0,0.0,0.0
3s_vs_3z,SafeDreamers,0,19.83,0.145,0.733,0.126,0.966,0.013
3s_vs_3z,SafeDreamers,1,20.007,0.07,0.794,0.194,0.97,0.023
3s_vs_3z,SafeDreamers,4,19.491,0.321,0.969,0.141,0.921,0.036
3s_vs_3z,SafePO,0,6.72,0.043,3.0,0.0,0.0,0.0
3s_vs_3z,SafePO,1,7.107,0.109,3.0,0.0,0.0,0.0
3s_vs_4z,SafeDreamers,0,18.461,0.249,2.063,0.077,0.628,0.051
3s_vs_4z,SafeDreamers,1,19.632,0.534,2.123,0.126,0.598,0.055
3s_vs_4z,SafePO,0,4.932,0.068,3.0,0.0,0.0,0.0
3s_vs_4z,SafePO,1,4.936,0.018,3.0,0.0,0.0,0.0
3s_vs_5z,SafeDreamers,0,18.278,0.784,2.667,0.253,0.262,0.211
3s_vs_5z,SafeDreamers,1,16.874,0.926,2.821,0.065,0.115,0.03
3s_vs_5z,SafePO,0,3.743,0.011,3.0,0.0,0.0,0.0
3s_vs_5z,SafePO,1,3.871,0.033,3.0,0.0,0.0,0.0
8m,SafeDreamers,0,19.913,0.04,1.642,0.171,0.989,0.006
8m,SafeDreamers,4,18.321,0.668,4.292,0.431,0.803,0.071
8m,SafePO,0,1.309,0.017,8.0,0.0,0.0,0.0
8m,SafePO,4,1.863,0.027,8.0,0.0,0.0,0.0
MMM,SafeDreamers,0,20.056,0.35,6.178,0.63,0.834,0.095
MMM,SafeDreamers,4,17.694,0.6,6.83,0.466,0.639,0.07
MMM,SafePO,0,1.764,0.071,10.0,0.0,0.0,0.0
MMM,SafePO,4,1.758,0.041,10.0,0.0,0.0,0.0
bane_vs_bane,SafeDreamers,0,19.753,0.363,5.461,2.233,0.932,0.096
bane_vs_bane,SafeDreamers,4,18.003,1.22,16.813,3.693,0.672,0.18
bane_vs_bane,SafePO,0,19.437,0.074,22.146,0.057,0.817,0.022
bane_vs_bane,SafePO,4,19.421,0.056,22.121,0.142,0.822,0.021
